Nap  ,Località                                ,Inizio validità,Fine validità,Fascia 1,Fascia 1A
23821,ABBADIA LARIANA                         ,1/1/2024,12/31/9999,x       ,x        
21010,AGRA                                    ,1/1/2024,12/31/9999,x       ,x        
13021,ALAGNA VALSESIA                         ,1/1/2024,12/31/9999,x       ,         
23010,ALBAREDO PER SAN MARCO                  ,1/1/2024,12/31/9999,x       ,         
22031,ALBAVILLA                               ,1/1/2024,12/31/9999,x       ,x        
22032,ALBESE CON CASSANO                      ,1/1/2024,12/31/9999,x       ,x        
22070,ALBIOLO                                 ,1/1/2024,12/31/9999,x       ,x        
21041,ALBIZZATE                               ,1/1/2024,12/31/9999,x       ,x        
23010,ALBOSAGGIA                              ,1/1/2024,12/31/9999,x       ,         
11010,ALLEIN                                  ,1/1/2024,12/31/9999,x       ,         
22040,ALSERIO                                 ,1/1/2024,12/31/9999,x       ,x        
22024,ALTA VALLE INTELVI                      ,1/1/2024,12/31/9999,x       ,x        
13029,ALTO SERMENZA                           ,1/1/2024,12/31/9999,x       ,         
22040,ALZATE BRIANZA                          ,1/1/2024,12/31/9999,x       ,x        
23009,ANDALO VALTELLINO                       ,1/1/2024,12/31/9999,x       ,         
11020,ANTEY-SAINT-ANDRÉ                       ,1/1/2024,12/31/9999,x       ,         
28841,ANTRONA SCHIERANCO                      ,1/1/2024,12/31/9999,x       ,x        
22040,ANZANO DEL PARCO                        ,1/1/2024,12/31/9999,x       ,x        
11100,AOSTA                                   ,1/1/2024,12/31/9999,x       ,         
22070,APPIANO GENTILE                         ,1/1/2024,12/31/9999,x       ,x        
23031,APRICA                                  ,1/1/2024,12/31/9999,x       ,         
21051,ARCISATE                                ,1/1/2024,12/31/9999,x       ,x        
23011,ARDENNO                                 ,1/1/2024,12/31/9999,x       ,         
22010,ARGEGNO                                 ,1/1/2024,12/31/9999,x       ,x        
28811,ARIZZANO                                ,1/1/2024,12/31/9999,x       ,x        
22060,AROSIO                                  ,1/1/2024,12/31/9999,x       ,x        
21010,ARSAGO SEPRIO                           ,1/1/2024,12/31/9999,x       ,x        
11011,ARVIER                                  ,1/1/2024,12/31/9999,x       ,         
22033,ASSO                                    ,1/1/2024,12/31/9999,x       ,x        
28812,AURANO                                  ,1/1/2024,12/31/9999,x       ,x        
11010,AVISE                                   ,1/1/2024,12/31/9999,x       ,         
11020,AYAS                                    ,1/1/2024,12/31/9999,x       ,         
11010,AYMAVILLES                              ,1/1/2024,12/31/9999,x       ,         
21022,AZZATE                                  ,1/1/2024,12/31/9999,x       ,x        
21030,AZZIO                                   ,1/1/2024,12/31/9999,x       ,x        
28861,BACENO                                  ,1/1/2024,12/31/9999,x       ,x        
28871,BANNIO ANZINO                           ,1/1/2024,12/31/9999,x       ,x        
21020,BARASSO                                 ,1/1/2024,12/31/9999,x       ,x        
21009,BARDELLO CON MALGESSO E BREGANO         ,1/1/2024,12/31/9999,x       ,x        
20825,BARLASSINA                              ,1/1/2024,12/31/9999,x       ,         
22030,BARNI                                   ,1/1/2024,12/31/9999,x       ,x        
21039,BEDERO VALCUVIA                         ,1/1/2024,12/31/9999,x       ,x        
28813,BEE                                     ,1/1/2024,12/31/9999,x       ,x        
22021,BELLAGIO                                ,1/1/2024,12/31/9999,x       ,x        
23822,BELLANO                                 ,1/1/2024,12/31/9999,x       ,x        
23010,BEMA                                    ,1/1/2024,12/31/9999,x       ,         
22010,BENE LARIO                              ,1/1/2024,12/31/9999,x       ,x        
23010,BERBENNO DI VALTELLINA                  ,1/1/2024,12/31/9999,x       ,         
22070,BEREGAZZO CON FIGLIARO                  ,1/1/2024,12/31/9999,x       ,x        
25040,BERZO DEMO                              ,1/1/2024,12/31/9999,x       ,         
21050,BESANO                                  ,1/1/2024,12/31/9999,x       ,x        
21010,BESNATE                                 ,1/1/2024,12/31/9999,x       ,x        
21023,BESOZZO                                 ,1/1/2024,12/31/9999,x       ,x        
28851,BEURA-CARDEZZA                          ,1/1/2024,12/31/9999,x       ,x        
21024,BIANDRONNO                              ,1/1/2024,12/31/9999,x       ,x        
23030,BIANZONE                                ,1/1/2024,12/31/9999,x       ,         
22070,BINAGO                                  ,1/1/2024,12/31/9999,x       ,x        
11010,BIONAZ                                  ,1/1/2024,12/31/9999,x       ,         
21050,BISUSCHIO                               ,1/1/2024,12/31/9999,x       ,x        
22020,BIZZARONE                               ,1/1/2024,12/31/9999,x       ,x        
22028,BLESSAGNO                               ,1/1/2024,12/31/9999,x       ,x        
22020,BLEVIO                                  ,1/1/2024,12/31/9999,x       ,x        
