keyword,position,volume,url,winner_hint
simulazione tasse nuovi frontalieri,1,90,https://frontaliereticino.ch/,WINNER
simulazione tasse nuovi frontalieri,46,90,https://frontaliereticino.ch/tasse-e-pensione/simulazione-tasse-nuovi-frontalieri/,loser→https://frontaliereticino.ch/
calcolo stipendio netto frontaliere,4,70,https://frontaliereticino.ch/,WINNER
calcolo stipendio netto frontaliere,27,70,https://frontaliereticino.ch/calcola-stipendio/,loser→https://frontaliereticino.ch/
calcolo stipendio netto frontaliere,33,70,https://frontaliereticino.ch/calcola-stipendio/stipendio-netto-100000-chf-vecchio-frontaliere/,loser→https://frontaliereticino.ch/
calcolo stipendio netto frontaliere,40,70,https://frontaliereticino.ch/calcola-stipendio/stipendio-netto-60000-chf-residenza-entro-20km/,loser→https://frontaliereticino.ch/
calcolo stipendio netto frontaliere,50,70,https://frontaliereticino.ch/calcolo-tredicesima-frontaliere/,loser→https://frontaliereticino.ch/
calcolo stipendio netto frontaliere,51,70,https://frontaliereticino.ch/calcola-stipendio/stipendio-netto-60000-chf-1-figlio-entro-20km/,loser→https://frontaliereticino.ch/
calcolo stipendio netto frontaliere,52,70,https://frontaliereticino.ch/articoli-frontaliere/stipendio-netto-frontaliere-2026/,loser→https://frontaliereticino.ch/
guess stabio,5,110,https://frontaliereticino.ch/cerca-lavoro-ticino/sviluppatore-prodotto-abbigliamento-guess-europe-sagl-stabio/,WINNER
guess stabio,19,110,https://frontaliereticino.ch/cerca-lavoro-ticino/merchandiser-di-prodotti-guess-europe-sagl-stabio/,loser→https://frontaliereticino.ch/cerca-lavoro-ticino/sviluppatore-prodotto-abbigliamento-guess-europe-sagl-stabio/
guess stabio,30,110,https://frontaliereticino.ch/cerca-lavoro-ticino/senior-product-developpeur-fixed-term-contract-guess-europe-sagl-stabio/,loser→https://frontaliereticino.ch/cerca-lavoro-ticino/sviluppatore-prodotto-abbigliamento-guess-europe-sagl-stabio/
guess stabio,44,110,https://frontaliereticino.ch/cerca-lavoro-ticino/product-entwickler-apparel-guess-europe-sagl-stabio/,loser→https://frontaliereticino.ch/cerca-lavoro-ticino/sviluppatore-prodotto-abbigliamento-guess-europe-sagl-stabio/
traffico dogana chiasso,10,90,https://frontaliereticino.ch/guida-frontaliere/tempi-attesa-dogana/chiasso-centro/,WINNER
traffico dogana chiasso,18,90,https://frontaliereticino.ch/guida-frontaliere/tempi-attesa-dogana/,loser→https://frontaliereticino.ch/guida-frontaliere/tempi-attesa-dogana/chiasso-centro/
candidato medico svizzera,10,170,https://frontaliereticino.ch/cerca-lavoro-ticino/candidato-medico-medicina-interna-e-o-medicina-intensiva-eoc-ente-ospedaliero-cantonale-bellinzona/,WINNER
