Keyword;Position;Search Volume;Url;Traffic (%)
simulazione tasse nuovi frontalieri;1;90;https://frontaliereticino.ch/;23.40
chiasso grenze;2;70;https://www.frontaliereticino.ch/de/grenzgaenger-ratgeber/wartezeiten-grenze/chiasso-strada;4.25
grenze chiasso;3;70;https://www.frontaliereticino.ch/de/grenzgaenger-ratgeber/wartezeiten-grenze/chiasso-brogeda/;4.25
calcolo stipendio netto frontaliere;4;70;https://frontaliereticino.ch/;8.51
guess stabio;5;110;https://frontaliereticino.ch/cerca-lavoro-ticino/sviluppatore-prodotto-abbigliamento-guess-europe-sagl-stabio/;2.12
requisiti naspi frontalieri svizzeri;5;260;https://www.frontaliereticino.ch/articoli-frontaliere/naspi-ex-frontalieri-2026;19.14
roggiana;6;170;https://frontaliereticino.ch/guida-frontaliere/tempi-attesa-dogana/maslianico-roggiana;10.63
costo vita svizzera vs italia;7;70;https://www.frontaliereticino.ch/compara-servizi/costo-della-vita/;2.12
lugano infermieri lavoro;9;90;https://frontaliereticino.ch/cerca-lavoro-ticino/infermieri-lis-lugano-istituti-sociali-lugano/;2.12
concorso lugano;9;70;https://frontaliereticino.ch/cerca-lavoro-ticino/concorsi-per-l-assunzione-di-personale-citta-di-lugano-lugano/;2.12
lavoro lugano infermiere;10;90;https://frontaliereticino.ch/cerca-lavoro-ticino/infermieri-lis-lugano-istituti-sociali-lugano/;2.12
traffico dogana chiasso;10;90;https://frontaliereticino.ch/guida-frontaliere/tempi-attesa-dogana/chiasso-centro/;2.12
candidato medico svizzera;10;170;https://www.frontaliereticino.ch/cerca-lavoro-ticino/candidato-medico-medicina-interna-e-o-medicina-intensiva-eoc-ente-ospedaliero-cantonale-bellinzona/;6.38
frontiera chiasso;10;110;https://frontaliereticino.ch/guida-frontaliere/tempi-attesa-dogana/chiasso-centro/;0.00
educatore ticino;11;70;https://frontaliereticino.ch/cerca-lavoro-ticino/educatori-dell-infanzia/;0.00
calcolo tasse frontalieri oltre 20 km;11;110;https://www.frontaliereticino.ch/;0.00
costo vita svizzera vs italia;11;70;https://www.frontaliereticino.ch/compara-servizi/costo-della-vita/;0.00
offerte lavoro oss svizzera;12;170;https://www.frontaliereticino.ch/cerca-lavoro-ticino/oss-ticino/;2.12
casale lugano;13;170;https://frontaliereticino.ch/cerca-lavoro-ticino/spedizione-casale-sa-lugano-ticino/;0.00
case anziani ticino offerte di lavoro;13;210;https://frontaliereticino.ch/cerca-lavoro-ticino/concorso-generale-2026-oscam-ospedale-e-casa-anziani-malcantonese-castelrotto/;2.12
offerte di lavoro per oss in svizzera;13;140;https://www.frontaliereticino.ch/cerca-lavoro-ticino/oss-ticino/;0.00
offerte lavoro eoc;13;210;https://www.frontaliereticino.ch/cerca-lavoro-ticino/ricerca-locarno-eoc-ente-ospedaliero-cantonale/;0.00
offerte di lavoro oss svizzera;13;170;https://www.frontaliereticino.ch/cerca-lavoro-ticino/oss-ticino/;0.00
casa serena lugano offerte di lavoro;14;110;https://www.frontaliereticino.ch/cerca-lavoro-ticino/collaboratori-sanitari/;0.00
mappa confine italia svizzera;14;260;https://frontaliereticino.ch/guida-frontaliere/mappa-confine/;2.12
clinica moncucco offerte lavoro;14;140;https://frontaliereticino.ch/cerca-lavoro-ticino/emergency-room-doctor-gruppo-ospedaliero-moncucco-lugano/;0.00
frontalieri disoccupazione;14;140;https://frontaliereticino.ch/guida-frontaliere/disoccupazione-transfrontaliera/;0.00
lavoro mendrisio part time;14;140;https://frontaliereticino.ch/cerca-lavoro-ticino/ricerca-mendrisio-part-time/;0.00
disoccupazione per frontalieri;14;110;https://www.frontaliereticino.ch/guida-frontaliere/disoccupazione-transfrontaliera/;0.00
infermiere lugano lavoro;15;90;https://frontaliereticino.ch/cerca-lavoro-ticino/infermieri-lis-lugano-istituti-sociali-lugano/;0.00
offerte di lavoro infermieri lugano;16;110;https://frontaliereticino.ch/cerca-lavoro-ticino/infermieri-lis-lugano-istituti-sociali-lugano/;0.00
infermiere a lugano;16;110;https://frontaliereticino.ch/cerca-lavoro-ticino/infermieri-lis-lugano-istituti-sociali-lugano/;0.00
mendrisio lavoro part time;16;170;https://frontaliereticino.ch/cerca-lavoro-ticino/ricerca-mendrisio-part-time/;0.00
permesso g nuova procedura;16;90;https://frontaliereticino.ch/articoli-frontaliere/apprendisti-frontalieri-riforma-permesso-g/;0.00
offerte di lavoro educatore svizzera;16;90;https://frontaliereticino.ch/cerca-lavoro-ticino/educatori-ticino/;0.00
cliniche private ticino offerte lavoro oss;16;140;https://www.frontaliereticino.ch/cerca-lavoro-ticino/oss-ticino/;0.00
