rank,url,type,tldr,bulletized,keyfacts,qa,speakable,score,needs_fix
1,https://frontaliereticino.ch,homepage,1,1,0,1,1,4,NO
2,https://frontaliereticino.ch/articoli-frontaliere/naspi-ex-frontalieri-2026,article,1,1,0,1,1,4,NO
3,https://frontaliereticino.ch/guida-frontaliere/tempi-attesa-dogana/maslianico-roggiana,border-wait-sub,0,1,0,1,0,2,YES
4,https://frontaliereticino.ch/cerca-lavoro-ticino/candidato-medico-...,job-listing,0,1,0,1,1,3,YES
5,https://frontaliereticino.ch/de/grenzgaenger-ratgeber/wartezeiten-grenze/chiasso-strada,border-wait-sub,0,1,0,1,0,2,YES
6,https://frontaliereticino.ch/de/grenzgaenger-ratgeber/wartezeiten-grenze/chiasso-brogeda,border-wait-sub,0,1,0,1,0,2,YES
7,https://frontaliereticino.ch/cerca-lavoro-ticino/infermieri-lis-lugano...,job-listing,0,1,0,1,1,3,YES
8,https://frontaliereticino.ch/tasse-e-pensione/festivita-ticino,content,1,1,1,0,0,3,YES
9,https://frontaliereticino.ch/cerca-lavoro-ticino/sviluppatore-prodotto...,job-listing,0,1,0,1,1,3,YES
10,https://frontaliereticino.ch/guida-frontaliere/mappa-confine,content,1,1,0,0,0,2,YES
11,https://frontaliereticino.ch/guida-frontaliere/tempi-attesa-dogana/chiasso-centro,border-wait-sub,0,1,0,1,0,2,YES
12,https://frontaliereticino.ch/cerca-lavoro-ticino/concorso-generale-2026-...,job-listing,0,1,0,1,1,3,YES
13,https://frontaliereticino.ch/cerca-lavoro-ticino/oss-ticino,job-listing,0,1,0,1,1,3,YES
14,https://frontaliereticino.ch/compara-servizi/costo-della-vita,content,1,1,0,1,0,3,YES
15,https://frontaliereticino.ch/cerca-lavoro-ticino/concorsi-per-l-assunzione...,job-listing,0,1,0,1,1,3,YES
16,https://frontaliereticino.ch/compara-servizi/cambio-franco-euro,content,1,1,1,1,1,5,NO
17,https://frontaliereticino.ch/cerca-lavoro-ticino/fresator-medacta-...,job-listing,0,1,0,1,1,3,YES
18,https://frontaliereticino.ch/en/find-jobs-ticino/product-developer-jewellery-...,job-listing,0,1,0,1,1,3,YES
19,https://frontaliereticino.ch/cerca-lavoro-ticino/e-commerce-senior-merchandiser-...,job-listing,0,1,0,1,1,3,YES
20,https://frontaliereticino.ch/cerca-lavoro-ticino/it-web-developer-medacta-...,job-listing,0,1,0,1,1,3,YES
21,https://frontaliereticino.ch/cerca-lavoro-ticino/r-d-project-engineer-hip-medacta-...,job-listing,0,1,0,1,1,3,YES
22,https://frontaliereticino.ch/en/cross-border-guide/border-waiting-times/chiasso-strada,border-wait-sub,0,1,0,1,0,2,YES
23,https://frontaliereticino.ch/cerca-lavoro-ticino/unione-clinica-moncucco...,job-listing,0,1,0,1,1,3,YES
24,https://frontaliereticino.ch/en/find-jobs-ticino/company-prada-group,company-hub,0,1,0,1,1,3,YES
25,https://frontaliereticino.ch/cerca-lavoro-ticino,jobs-hub,1,1,1,1,1,5,NO
26,https://frontaliereticino.ch/guida-frontaliere/tempi-attesa-dogana/chiasso-brogeda,border-wait-sub,0,1,0,1,0,2,YES
27,https://frontaliereticino.ch/cerca-lavoro-ticino/clinica-moncucco-...,job-listing,0,1,0,1,1,3,YES
28,https://frontaliereticino.ch/cerca-lavoro-ticino/ricerca-chiasso,city-hub,0,1,0,1,1,3,YES
29,https://frontaliereticino.ch/cerca-lavoro-ticino/ricerca-locarno-eoc-...,company-city-hub,0,1,0,1,1,3,YES
30,https://frontaliereticino.ch/glossario-frontaliere/lamal,glossary,1,1,0,1,0,3,YES
