rank,url,position,volume,keyword,total_traffic_pct,score
1,https://frontaliereticino.ch,1,90,"simulazione tasse nuovi frontalieri",31.91,90.00
2,https://frontaliereticino.ch/articoli-frontaliere/naspi-ex-frontalieri-2026,5,260,"requisiti naspi frontalieri svizzeri",19.14,52.00
3,https://frontaliereticino.ch/guida-frontaliere/tempi-attesa-dogana/maslianico-roggiana,6,170,"roggiana",10.63,28.33
4,https://frontaliereticino.ch/cerca-lavoro-ticino/candidato-medico-medicina-interna-e-o-medicina-intensiva-eoc-ente-ospedaliero-cantonale-bellinzona,10,170,"candidato medico svizzera",6.38,17.00
5,https://frontaliereticino.ch/de/grenzgaenger-ratgeber/wartezeiten-grenze/chiasso-strada,2,70,"chiasso grenze",4.25,35.00
6,https://frontaliereticino.ch/de/grenzgaenger-ratgeber/wartezeiten-grenze/chiasso-brogeda,3,70,"grenze chiasso",4.25,23.33
7,https://frontaliereticino.ch/cerca-lavoro-ticino/infermieri-lis-lugano-istituti-sociali-lugano,9,90,"lugano infermieri lavoro",4.24,10.00
8,https://frontaliereticino.ch/tasse-e-pensione/festivita-ticino,19,720,"festivi in ticino",2.12,37.89
9,https://frontaliereticino.ch/cerca-lavoro-ticino/sviluppatore-prodotto-abbigliamento-guess-europe-sagl-stabio,5,110,"guess stabio",2.12,22.00
10,https://frontaliereticino.ch/guida-frontaliere/mappa-confine,14,260,"mappa confine italia svizzera",2.12,18.57
11,https://frontaliereticino.ch/guida-frontaliere/tempi-attesa-dogana/chiasso-centro,35,590,"dogana chiasso-strada",2.12,16.86
12,https://frontaliereticino.ch/cerca-lavoro-ticino/concorso-generale-2026-oscam-ospedale-e-casa-anziani-malcantonese-castelrotto,13,210,"case anziani ticino offerte di lavoro",2.12,16.15
13,https://frontaliereticino.ch/cerca-lavoro-ticino/oss-ticino,12,170,"offerte lavoro oss svizzera",2.12,14.17
14,https://frontaliereticino.ch/compara-servizi/costo-della-vita,7,70,"costo vita svizzera vs italia",2.12,10.00
15,https://frontaliereticino.ch/cerca-lavoro-ticino/concorsi-per-l-assunzione-di-personale-citta-di-lugano-lugano,9,70,"concorso lugano",2.12,7.78
16,https://frontaliereticino.ch/compara-servizi/cambio-franco-euro,48,3600,"cambia valute ch",0.00,75.00
17,https://frontaliereticino.ch/cerca-lavoro-ticino/fresator-medacta-international-sa-castel-san-pietro-rancate,24,1300,"medacta international sa rancate",0.00,54.17
18,https://frontaliereticino.ch/en/find-jobs-ticino/product-developer-jewellery-guess-europe-sagl-bioggio,45,2400,"guess europe sagl switzerland",0.00,53.33
19,https://frontaliereticino.ch/cerca-lavoro-ticino/e-commerce-senior-merchandiser-guess-europe-sagl-bioggio-ticino-switzerland,37,1900,"guess europe sagl",0.00,51.35
20,https://frontaliereticino.ch/cerca-lavoro-ticino/it-web-developer-medacta-international-sa-rancate,31,1300,"medacta international sa rancate",0.00,41.94
21,https://frontaliereticino.ch/cerca-lavoro-ticino/r-d-project-engineer-hip-medacta-international-sa-rancate,39,1300,"medacta international sa rancate",0.00,33.33
22,https://frontaliereticino.ch/en/cross-border-guide/border-waiting-times/chiasso-strada,37,1000,"dogana chiasso strada",0.00,27.03
23,https://frontaliereticino.ch/cerca-lavoro-ticino/unione-clinica-moncucco-e-clinica-santa-chiara-lugano-moncucco,33,880,"clinica moncucco",0.00,26.67
24,https://frontaliereticino.ch/en/find-jobs-ticino/company-prada-group,41,1000,"prada career opportunities",0.00,24.39
25,https://frontaliereticino.ch/cerca-lavoro-ticino,45,1000,"lavoro offerte ticino",0.00,22.22
26,https://frontaliereticino.ch/guida-frontaliere/tempi-attesa-dogana/chiasso-brogeda,22,480,"valico brogeda",0.00,21.82
27,https://frontaliereticino.ch/cerca-lavoro-ticino/clinica-moncucco-gruppo-ospedaliero-moncucco-lugano,46,880,"clinica moncucco",0.00,19.13
28,https://frontaliereticino.ch/cerca-lavoro-ticino/ricerca-chiasso,38,720,"chiasso lavoro offerte",0.00,18.95
29,https://frontaliereticino.ch/cerca-lavoro-ticino/ricerca-locarno-eoc-ente-ospedaliero-cantonale,13,210,"offerte lavoro eoc",0.00,16.15
30,https://frontaliereticino.ch/glossario-frontaliere/lamal,41,590,"lamal",0.00,14.39
